City/Community,Latitude,Longitude,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20
City of Cudahy,33.9627,-118.182871,0,0,0,0,0,0,0,0,0,0,9,1,2,3,1,2,1,0,1,1,0,0,2,1,1,1,1,0,3,10,9,5,0,1,5,0,3,4,3,4,4,2,0,3,8,2,3,2,0,0,1,10,3,2,1,1,2,9,12,8,6,5,7,3,32,1,1,17,33,3,6,4,2,8,11,5,5,3,4,8,7,16,9,1,6,7,5,6,0,11,14,10,5,2,7,3,7,9,8,16,3,10,0,0,33,6,10,12,11,6,15,11,11,17,8,27,15,12,11,17,10,18,11,6,11,3,7,8,17,10,19,9,5,8,5,5,17,11,6,10,6,3,11,11,11,14,3,4,7,6,9,8,1,3,3,3,3,5,5,2,2,4,2,5,3,6,6,4,2,2,3,5,2,1,1,1,0,0,2,4,2,2,2,3,7,6,10,1,6,0,0,0,8,8,1,4,3,2,6,4,3,4,3,2,2,0,3,1,2,0,1,-1,1,5,4,5,0,4,1,2,5,4,4,4,8,6,14,1,11,12,19,3,12
City of Culver City,34.005741,-118.39677,1,2,-1,2,-2,1,2,5,1,2,2,1,3,3,1,2,0,1,1,0,0,1,2,0,2,0,1,1,2,4,1,4,4,3,2,0,0,2,4,2,1,0,1,17,3,2,3,1,22,2,0,3,0,2,4,1,0,1,1,4,1,0,1,1,0,1,6,3,3,9,2,0,0,0,1,0,2,0,-1,1,2,2,4,3,0,1,0,3,2,6,-1,2,1,2,0,2,4,6,2,5,4,4,0,0,11,1,2,2,3,5,3,2,1,13,5,6,3,3,6,3,6,6,2,2,3,1,2,2,2,5,0,7,0,1,0,4,1,5,3,1,3,1,1,1,2,1,1,2,0,4,3,1,1,2,1,1,2,2,1,0,0,2,0,0,1,1,0,0,0,-1,0,1,0,0,0,0,2,1,0,2,2,2,0,0,1,1,0,-1,0,1,1,4,4,2,0,0,0,3,3,0,0,-1,1,1,1,-1,0,3,2,0,0,0,0,3,6,6,0,1,1,0,1,1,2,6,2,3,3,8,1,7,2,3,2
City of Diamond Bar,33.998945,-117.816083,0,0,0,0,0,0,1,0,0,3,1,1,3,1,1,1,0,3,1,1,1,0,2,0,-1,1,0,1,1,1,3,3,1,1,0,1,0,0,0,0,0,1,1,1,1,1,2,1,2,0,0,1,1,1,0,2,0,1,2,2,1,0,1,0,1,1,2,3,1,0,4,2,2,3,1,2,1,1,1,2,1,3,0,1,1,3,2,0,3,5,6,7,0,0,6,6,5,14,8,12,13,2,0,0,24,3,9,7,8,11,9,11,9,12,5,14,8,9,7,5,5,4,0,0,8,4,2,9,4,6,5,6,4,1,4,10,8,16,3,1,3,1,2,10,2,6,4,5,2,7,3,2,0,2,4,0,3,0,2,2,3,2,1,4,2,1,2,1,2,1,2,0,1,4,2,1,4,2,0,9,2,1,2,3,0,1,1,4,2,1,1,0,2,3,0,1,2,4,2,2,5,3,1,2,4,-1,3,1,0,0,2,3,3,11,8,2,3,3,3,8,2,4,4,10,2,3,1,9,8,13,10,3,14
City of Downey,33.936964,-118.132973,1,0,4,5,2,6,1,6,6,6,6,4,5,16,3,8,5,5,5,6,1,1,4,5,3,4,6,2,11,10,8,15,9,3,5,6,2,16,4,9,9,2,1,8,9,11,7,8,10,5,12,25,16,15,36,7,32,12,23,11,15,21,12,17,30,12,15,74,48,9,9,21,22,20,21,24,15,9,23,23,26,44,34,8,15,18,35,29,15,35,32,59,35,24,24,29,36,60,48,79,29,41,0,0,138,26,110,62,24,52,50,62,58,89,29,96,42,39,40,58,32,35,28,30,29,21,15,33,56,23,22,45,16,19,14,39,47,38,31,16,24,14,36,37,40,28,24,21,13,28,22,27,16,14,14,11,21,19,16,7,12,21,9,31,15,16,15,9,6,7,10,18,21,12,5,24,6,5,21,22,28,15,24,13,23,17,16,15,13,11,7,24,24,18,17,14,11,7,31,10,11,22,7,8,11,13,13,2,15,4,10,15,9,46,40,43,8,36,25,34,22,23,18,20,15,20,12,19,32,36,24,11,31
City of Duarte,34.138871,-117.970873,1,-1,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,3,2,0,2,3,6,4,2,5,8,0,1,1,0,1,4,10,3,2,5,4,1,2,2,0,3,1,0,0,6,3,1,0,0,0,0,1,2,2,3,2,2,1,3,2,3,2,7,1,3,0,1,2,3,1,2,0,0,1,1,4,1,3,3,3,0,0,0,2,3,4,6,1,5,2,2,7,6,4,3,5,0,0,12,4,9,5,1,6,10,1,7,9,2,4,2,6,5,24,5,4,2,7,6,2,6,6,10,1,3,3,2,2,5,7,4,3,6,5,4,3,3,4,8,6,1,2,2,-1,7,2,3,3,1,5,3,5,5,2,2,4,6,23,9,-1,2,1,1,1,1,2,2,6,0,2,1,1,3,3,2,2,1,0,3,3,4,13,3,3,1,0,2,4,9,1,1,0,0,4,0,1,5,1,3,1,0,2,-4,-1,5,4,0,4,6,5,1,0,1,-1,0,3,0,1,0,4,2,3,3,5,4,1,4
City of El Monte,34.074171,-118.028872,0,0,0,0,0,0,0,1,3,2,1,3,2,6,3,1,1,2,1,2,0,0,2,4,4,9,3,2,9,11,24,11,7,6,2,7,4,15,3,9,6,9,2,20,5,7,7,11,3,10,8,25,16,10,20,4,3,15,18,12,12,19,9,15,30,9,27,24,20,20,12,12,19,51,13,25,22,24,22,20,36,34,57,29,6,31,42,13,19,49,38,74,57,21,45,20,39,44,34,56,35,50,0,0,158,31,66,49,30,38,45,73,53,96,52,72,43,47,57,63,40,57,16,39,66,29,28,61,84,61,42,45,18,23,38,63,59,64,64,51,43,31,31,27,34,37,24,24,15,22,22,24,26,14,19,12,12,21,19,14,5,15,12,14,15,19,28,12,12,8,15,13,16,7,3,9,4,14,8,16,20,7,8,4,8,14,10,22,9,5,11,19,23,21,14,15,10,24,23,29,14,10,22,6,17,22,0,18,17,3,17,2,2,78,29,37,10,17,33,12,10,18,21,19,28,24,16,24,14,19,26,19,64
City of El Segundo,33.916558,-118.402125,0,1,0,0,-2,0,0,0,0,0,0,5,1,1,0,1,0,1,1,1,0,0,0,1,0,0,2,0,6,1,3,1,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,-1,1,2,0,0,1,0,0,2,0,3,1,1,2,0,3,3,0,0,0,7,2,3,1,0,2,0,3,1,3,3,2,2,0,1,0,2,3,2,0,0,1,0,2,0,0,0,0,1,0,-1,0,3,0,1,1,1,1,0,2,0,0,0,4,0,2,1,2,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,2,2,2,0,1,2,0,0,0,1,1,1,1,0,3
City of Gardena,33.882398,-118.307513,0,0,0,3,1,1,0,1,5,2,3,3,3,7,0,7,5,5,6,10,11,0,6,2,4,7,3,6,5,14,5,2,2,4,1,5,2,15,1,0,2,5,0,6,6,0,0,8,0,0,6,6,5,2,2,1,0,2,3,8,6,5,3,12,3,4,4,-1,10,9,4,10,2,7,6,8,1,3,4,10,7,2,8,4,8,4,10,2,9,15,9,11,14,12,14,9,12,15,7,11,7,4,0,0,36,7,16,8,7,10,16,17,4,15,6,22,10,13,13,4,6,11,9,6,13,13,9,13,22,12,9,14,2,13,11,8,12,11,21,11,3,8,4,7,19,13,-1,7,9,15,10,9,10,4,4,10,8,17,9,6,7,3,5,7,5,5,12,8,4,1,10,10,-4,3,1,3,1,4,5,3,6,1,0,2,4,3,0,5,6,4,5,5,9,5,2,4,0,5,4,4,1,4,2,2,0,2,2,6,2,3,1,-1,0,13,2,0,4,1,2,7,4,5,4,1,4,5,5,12,10,6,2,1,4
City of Glendale,34.147289,-118.248237,3,1,2,11,6,7,10,16,14,10,7,10,15,11,13,12,12,28,24,15,15,7,14,9,10,22,16,6,7,30,20,30,43,7,12,7,14,28,34,24,22,2,22,17,18,18,10,20,7,14,30,17,17,15,16,19,1,3,13,7,10,11,17,10,19,9,8,5,9,6,5,5,5,36,9,3,16,6,6,5,17,8,16,14,2,37,27,12,10,13,15,36,16,13,18,12,11,22,33,24,23,18,0,0,65,17,38,24,21,19,44,33,14,49,24,59,17,28,26,31,19,59,21,24,43,11,24,40,58,41,31,24,20,15,25,29,81,40,19,18,21,14,13,21,22,37,11,14,12,34,39,34,20,13,14,32,29,34,32,19,12,11,19,17,18,37,27,10,5,10,12,31,34,27,16,18,16,31,25,37,31,13,21,26,27,31,28,31,27,12,27,17,25,36,31,14,6,31,27,25,39,16,23,13,14,29,23,32,10,-1,24,19,16,86,75,46,10,18,47,37,37,16,40,35,15,24,27,60,61,32,33,28,19
City of Glendora,34.135797,-117.864654,0,0,1,0,2,0,2,0,1,0,0,3,1,3,2,1,0,1,0,3,0,0,2,3,1,2,0,2,2,2,2,1,0,1,0,0,3,2,1,1,0,0,2,3,6,6,1,1,5,1,5,3,3,4,3,3,2,1,8,6,12,5,2,2,3,5,1,4,5,0,1,1,8,3,1,2,5,1,2,4,3,0,6,3,7,1,7,13,6,10,7,8,12,3,8,5,8,10,18,26,4,10,0,0,82,11,22,14,10,17,21,20,29,78,16,25,17,12,26,12,21,13,14,17,14,8,9,15,10,15,22,9,20,4,13,29,10,11,10,6,5,7,10,3,15,7,7,6,6,1,7,6,3,3,7,0,3,2,5,4,5,3,5,7,1,6,10,0,2,5,7,11,0,4,1,2,0,3,4,4,8,5,2,4,6,5,3,0,1,4,4,1,5,2,2,4,0,2,2,3,3,4,3,4,1,2,-14,3,-4,2,2,7,1,8,5,7,2,6,5,6,5,4,7,4,4,2,4,4,4,12,9,4,16
City of Hawaiian Gardens,33.830252,-118.07306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,1,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,4,2,1,0,2,2,4,2,2,1,7,5,0,2,7,7,5,5,1,3,1,5,5,6,1,3,1,3,6,4,1,1,5,8,1,1,1,8,3,10,2,7,1,4,3,5,6,3,3,0,0,19,3,5,5,5,8,13,1,8,10,8,11,6,6,3,9,5,9,2,4,6,5,3,12,9,3,3,2,4,7,2,6,8,11,12,1,3,2,4,4,10,1,2,3,0,5,2,5,6,4,3,5,3,1,2,1,1,1,0,0,2,7,1,1,6,2,0,2,3,2,2,0,2,2,3,1,0,5,0,0,3,3,0,0,1,0,0,0,2,0,1,0,0,2,1,0,0,2,0,1,0,3,2,0,0,0,2,4,0,1,3,2,1,2,1,0,0,1,0,1,1,3,1,1,5,6,2,6,3
City of Hawthorne,33.914608,-118.347119,1,3,2,1,-2,4,0,2,6,3,4,4,2,7,5,5,6,7,2,4,2,4,5,8,3,-1,3,2,12,28,6,4,6,4,1,5,1,17,7,9,7,3,1,13,14,3,5,13,1,2,5,12,10,4,12,6,5,7,12,12,0,14,1,7,6,7,7,6,9,5,4,10,7,5,7,3,11,6,3,17,27,7,13,8,7,14,9,9,8,18,12,13,12,6,11,12,19,25,14,15,8,6,0,0,62,19,23,23,14,7,23,20,21,18,23,45,29,22,21,25,16,25,17,7,31,11,25,29,23,26,25,24,12,16,9,22,23,29,29,12,21,13,14,10,23,14,12,7,4,11,11,21,5,4,18,3,16,9,9,26,4,3,7,6,11,8,4,3,4,2,2,8,1,5,7,0,2,6,7,7,6,7,2,3,5,2,4,4,3,3,8,6,7,5,7,3,2,10,6,8,6,6,7,0,6,0,2,1,6,0,12,5,3,25,15,8,8,10,9,12,9,14,8,13,6,12,12,22,5,19,5,17,14
City of Hermosa Beach,33.865584,-118.396413,0,0,0,0,0,0,6,1,2,3,3,2,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,1,-1,0,0,1,0,2,3,1,3,-3,3,2,1,1,4,3,0,5,1,1,0,6,3,2,3,0,2,0,0,12,0,6,2,3,5,6,4,3,2,2,3,5,1,1,0,1,3,1,2,2,-1,0,2,1,1,0,1,1,3,1,0,1,5,2,0,4,3,2,3,1,3,1,1,0,1,1,0,3,0,2,0,1,0,3,0,1,0,1,0,3,0,1,2,1,1,0,1,0,1,0,0,1,0,1,2,1,1,-1,0,1,1,1,1,0,1,0,4,1,1,5,2,1,1,2,1,1,1,0,2,1,0,0,0,1,1,3,0,1,6,2,3,2,1,1,0,2,3,2,3,2,0,1,3,1,3,4,2,2
City of Hidden Hills,34.163756,-118.661141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0
City of Huntington Park,33.980372,-118.217115,0,0,0,0,2,0,0,2,7,2,2,1,4,6,3,4,3,2,1,2,1,1,1,0,2,6,4,2,20,9,8,11,8,5,3,8,2,4,6,12,4,6,1,10,5,2,14,4,2,4,11,14,7,15,8,3,3,17,36,10,10,12,15,11,55,12,3,35,35,14,2,3,18,20,23,13,13,9,20,21,30,28,23,12,16,16,32,12,15,34,31,40,31,12,26,22,19,32,36,34,21,38,0,0,84,13,47,25,12,30,30,30,23,42,28,41,25,22,30,29,24,37,9,23,43,8,28,26,54,37,23,30,16,25,13,34,32,35,23,17,20,15,27,29,30,22,9,12,11,10,12,18,12,9,11,11,14,24,17,17,10,9,5,20,12,17,11,8,2,6,8,17,11,11,11,6,4,11,16,10,16,9,11,4,41,21,9,8,11,5,9,9,12,13,5,4,3,9,10,8,5,14,5,6,4,9,7,12,15,3,7,2,3,29,14,10,1,12,2,9,6,16,5,11,8,11,19,11,15,21,24,12,14
City of Industry,34.006533,-117.923025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,3,1,0,0,-1,0,0,0,0,1,0,1,-2,0,0,0,0,0,0,0,1,0,1,-1,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,1,0,1,0,0,0,4,1,0,-3,1,1,0,0,0,0,0,0,0,1,1,0,2,0,-1,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,6,2,2,3,1,-1
City of Inglewood,33.956071,-118.344054,0,2,0,7,0,2,6,6,5,6,7,11,7,7,9,7,7,7,6,7,4,5,6,5,5,8,7,5,20,38,13,17,15,7,3,15,5,21,4,20,6,7,8,22,12,18,5,2,2,3,12,17,4,6,13,8,7,8,8,14,8,4,5,9,10,7,8,15,8,10,13,29,9,5,10,19,11,6,4,14,6,11,8,7,10,7,15,5,11,19,19,26,22,19,10,23,22,21,28,30,20,15,0,0,61,13,35,23,23,17,22,36,53,51,23,56,38,33,27,42,26,46,17,22,41,11,32,34,59,31,28,34,9,21,29,39,43,40,29,25,36,23,34,29,26,19,17,23,9,16,13,27,13,20,6,11,9,10,17,9,11,15,9,19,12,12,7,6,6,6,5,8,15,10,10,4,-1,14,12,7,3,4,3,8,10,12,17,9,9,4,14,1,13,5,13,17,7,6,7,29,14,18,9,13,7,15,13,8,10,6,6,4,-1,33,19,11,4,14,14,11,13,7,6,17,12,11,13,21,14,21,26,17,18
City of Irwindale,34.104517,-117.934167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,1,1,2,0,0,4,2,0,2,2,0,2,2,2,1,1,2,3,0,3,0,1,2,0,0,2,0,0,1,1,2,2,1,0,0,0,0,0,0,0,2,0,3,2,0,0,-1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0
City of La Canada Flintridge,34.209828,-118.199558,1,0,1,3,-1,2,0,1,0,0,0,1,2,3,0,2,0,0,1,3,0,2,0,1,1,2,0,0,4,3,2,2,1,0,0,-1,0,0,0,-1,0,0,1,2,2,0,0,2,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,3,5,1,3,0,0,1,0,2,0,2,1,3,0,1,0,0,0,3,0,2,0,0,0,2,2,0,5,2,5,1,2,1,0,3,2,0,2,2,2,2,1,4,1,3,0,2,0,1,0,2,1,0,1,2,1,1,2,0,2,2,1,0,3,0,4,2,0,0,2,2,3,0,0,0,3,1,2,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,4,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,2,2,1,3,2,1,1,2,-1,1,0,1,1,2,1,5,0,0
City of La Habra Heights,33.960594,-117.951422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,1,1,0,1,1,0,0,0,1,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0
City of La Mirada,33.902264,-118.009463,0,0,1,1,0,1,1,0,1,1,2,0,2,2,1,0,1,2,2,0,0,1,2,1,0,1,5,1,5,3,2,0,2,2,3,3,3,2,3,2,2,2,2,3,2,0,2,0,0,1,5,2,2,23,10,9,2,3,6,2,4,4,2,5,4,1,1,6,5,8,4,6,8,5,2,4,4,0,3,2,2,4,3,1,4,2,11,5,2,8,5,9,5,4,1,6,16,6,10,4,3,11,0,0,36,11,19,11,7,4,13,14,7,20,5,14,5,9,10,12,10,4,12,3,5,8,8,10,6,4,4,9,2,2,12,10,12,8,3,9,6,4,6,12,16,5,0,1,5,3,5,6,6,2,4,3,6,2,0,1,2,1,6,4,3,3,4,0,3,3,1,1,2,3,2,1,2,3,7,4,2,2,0,5,4,3,4,0,1,0,5,3,4,5,4,3,0,6,0,1,2,1,0,1,7,5,5,0,0,0,2,3,0,15,11,6,3,5,-1,2,9,5,3,10,6,5,3,4,3,10,6,6,5
City of La Puente,34.032205,-117.953359,0,1,-1,1,0,1,1,0,0,3,1,1,3,1,1,1,0,1,3,1,1,-1,1,2,-1,0,0,1,0,8,1,-31,33,0,1,0,2,3,1,2,1,0,0,4,0,-1,4,3,1,0,4,0,6,0,1,0,1,5,6,6,3,2,1,2,10,7,4,12,7,4,2,2,6,3,1,7,4,2,12,6,13,19,11,3,9,5,14,2,8,21,10,19,28,8,10,8,23,22,17,16,12,19,0,0,49,21,28,24,13,11,22,28,16,30,21,33,14,30,25,23,10,27,9,18,27,11,15,11,29,15,17,18,9,7,11,10,14,13,10,18,12,5,13,19,22,13,10,7,7,13,15,16,8,10,6,7,13,5,9,9,3,7,5,1,6,6,3,2,3,3,5,3,4,3,1,2,2,-1,3,12,8,2,1,6,1,6,13,6,2,4,12,7,10,10,9,14,5,3,9,7,3,7,11,6,4,3,13,11,5,7,6,3,1,23,7,16,1,4,6,1,5,4,13,10,6,8,10,6,10,7,7,1,24
City of La Verne,34.112079,-117.76505,0,0,0,0,-1,0,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,1,0,2,0,4,2,0,3,1,5,2,3,8,5,10,6,2,5,9,4,8,4,7,2,2,0,0,22,1,7,2,7,5,4,3,7,5,5,14,10,8,8,5,5,9,3,3,10,5,6,6,11,3,13,4,3,0,4,4,10,5,4,3,1,1,2,6,5,4,2,3,1,3,3,2,8,5,0,2,5,2,3,6,2,0,1,1,-1,2,3,1,0,2,1,2,4,4,2,1,0,0,3,2,6,2,3,2,2,2,1,1,1,0,2,5,-1,17,5,4,2,4,6,1,0,2,3,2,3,6,1,0,0,0,1,1,1,3,7,4,0,3,4,2,3,4,7,5,1,3,5,5,7,5,1,1,20
City of Lakewood,33.847671,-118.133848,0,2,1,3,1,3,1,1,3,2,3,3,4,1,3,4,1,0,3,1,0,1,0,1,3,0,1,1,8,5,8,2,1,1,1,1,0,3,1,4,1,1,1,6,2,1,4,4,1,0,5,9,4,4,4,6,1,1,6,2,1,1,3,3,13,2,4,8,7,3,5,6,6,2,4,4,10,9,10,2,9,5,7,9,1,6,12,4,5,4,13,11,17,14,11,4,13,15,17,14,17,18,0,0,40,7,15,21,10,15,19,27,16,27,16,20,11,24,15,18,8,22,9,3,12,9,5,20,9,12,14,7,4,8,5,10,9,19,21,7,5,2,9,10,12,17,3,7,2,8,6,10,13,5,4,4,11,13,12,2,2,15,1,3,4,7,3,4,4,4,3,6,4,5,2,7,1,7,7,13,8,2,1,2,3,7,8,2,4,6,9,7,9,5,3,8,4,5,3,13,7,10,2,2,3,11,5,2,8,-1,4,1,2,12,11,12,2,3,8,1,12,7,7,9,7,2,4,10,5,14,4,3,4
City of Lancaster,34.701724,-118.145003,3,1,5,3,2,1,4,4,4,1,1,5,5,8,10,3,9,1,5,4,4,0,4,0,5,6,12,6,12,52,13,15,19,15,9,20,5,12,15,14,5,12,5,10,20,14,7,11,6,9,5,13,8,7,10,6,11,9,7,7,3,15,8,9,8,7,5,16,13,15,11,14,14,14,7,6,6,6,12,11,16,15,11,11,15,12,25,13,11,20,19,16,47,13,14,22,49,24,25,28,19,31,0,0,114,9,23,30,29,20,42,29,24,47,24,49,31,29,25,32,29,30,28,24,35,35,14,46,37,26,51,32,27,13,39,40,54,66,33,40,26,24,19,35,32,39,15,11,11,24,36,24,30,10,19,33,13,28,26,21,12,23,20,16,17,18,15,6,16,9,17,4,24,18,35,-7,17,25,39,24,16,15,7,16,39,14,25,25,16,10,23,32,22,37,24,14,16,25,34,40,20,21,9,15,17,33,11,25,14,0,21,42,13,93,82,59,24,40,49,20,32,34,28,53,38,35,41,39,43,72,62,29,63
